order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD382112,ID0289597187,2019-03-06,Thompson,"[('pearTV', 1), ('Candle Inferno', 2)]",7170.0,61.72,-37.8117825,144.9519722,15,6156.22,Autumn,True,0.4425,"to many adds in ui it has adds, sends info to manufacture,",False
ORD378488,ID1668523020,2019-05-05,Thompson,"[('Thunder line', 1), ('Lucent 330S', 2), ('Alcon 10', 1)]",13590.0,65.2,-37.8082365,144.9421811,10,12296.2,Autumn,False,0.6547,s10e haven't had this phone but a short time but i have fallen in love lol,True
ORD279446,ID0370751503,2019-03-24,Bakers,"[('Candle Inferno', 2), ('Universe Note', 1)]",4310.0,78.75,-37.8129413,144.9858829,15,3742.25,,True,0.8852,"best bang for your buck! great overall android phone, no damages during shipping and after a month phone performance hasn't declined, would recommend to anyone who wants to get a upgrade.",True
ORD277196,ID0634774947,2019-01-12,Thompson,"[('pearTV', 1), ('Thunder line', 1), ('Olivia x460', 2)]",10940.0,92.59,-37.8117484,144.9381916,25,8297.59,Summer,True,0.7875,good it was a gift for my niece. it to her in jamaica.,True
ORD116193,ID3313210924,2019-09-02,Nickolson,"[('pearTV', 2), ('Universe Note', 2), ('Thunder line', 1)]",21700.0,95.62,-37.8183928,144.9670339,5,20710.62,Spring,True,0.2225,"excellent product excellent product, was received as described, was delivered at the correct time.",True
ORD005004,ID0472236192,2019-05-07,Nickolson,"[('Thunder line', 2), ('Lucent 330S', 2)]",6820.0,84.09,-37.8015018,144.9661038,0,6904.09,Autumn,True,1.9268,i love it very nice and good product would recomend to others,True
ORD296379,ID0591306178,2019-01-19,Nickolson,"[('Thunder line', 1), ('pearTV', 1)]",8490.0,77.51,-37.8237,144.9563143,0,8567.51,Summer,False,1.2953,great phone great phone i am still using that and learning more and more about it everyday i still have it and have gone through one case and put a new case on,True
ORD447851,ID0591430562,2019-02-07,,"[('Alcon 10', 2), ('Toshika 750', 2), ('Universe Note', 1), ('Olivia x460', 2)]",32440.0,67.27,-37.8174124,144.96759,5,30885.27,Summer,False,0.2169,"five stars it was a gift, my nephew is loving it.",True
ORD078449,ID0030287324,2019-10-20,Nickolson,"[('Olivia x460', 2), ('iAssist Line', 2)]",6900.0,105.5,-37.8070811,144.9672879,15,5970.5,Spring,True,1.2971,definitively would buy again. has been great to me for the past months. highly suggest for people who want to buy an up to date phone but do not want to pay for the newest universe out.,True
ORD018258,ID0245537598,2019-05-27,Nickolson,"[('Universe Note', 1), ('Lucent 330S', 1), ('iAssist Line', 1), ('iStream', 2)]",7205.0,65.39,-37.8101638,144.9668186,15,6189.64,Autumn,False,0.9688,my best snapchat phone my snapchats are crystal clear with nice zoom focus. has wide vertical lens capturing a lot in one frame. phones overall performance is smooth and fast. phone is large but overall is the perfect size for cargo pant pockets.,True
